ID,Script,Augmented_code,Transformation
421,"#include<vector>
#include<stack>

class MinStack {
private:
        int *top;
        int *next;

public:
    MinStack() {
    }

    void push(int x) {

    }

    void pop() {

    }

    int getMin() {

    }
};","#include <vector>
#include <stack>

class MinStack {
private:
    int *top;
    int *next;
    std::vector<int> stack;
    std::vector<int> minStack;

public:
    MinStack() {
        top = nullptr;
        next = nullptr;
    }

    void push(int x) {
        stack.push_back(x);
        if (minStack.empty() || x <= minStack.back()) {
            minStack.push_back(x);
        }
    }

    void pop() {
        if (stack.back() == minStack.back()) {
            minStack.pop_back();
        }
        stack.pop_back();
    }

    int top() {
        return stack.back();
    }

    int getMin() {
        return minStack.back();
    }
};

",original
443,"#include<vector>
#include <algorithm>

class MinStack {
private:
        //int *top;
        //int *next;

        //Two stacks - one to keep track of the actual stack values as they are inserted.
        //Other stack to maintain them in sorted order so min can be retrieved in constant time

        std::vector<int>myStack;
        std::vector<int>myMinStack;

public:
    MinStack()
    {}

    void push(int x) {
            myStack.emplace_back(x);


            //Then add to minStack, maintaining sorted order:


    }

    void pop() {

            if (myStack.size() < 1){
                    std::cerr(""Cannot pop from empty stack!"");
            }
            myStack.pop_back();

            //Then remove from minStack and maintain sorted order:


    }

    int top() {
            if (myStack.size() < 1){
                    std::cerr(""Stack is empty!"");
            }

            return myStack[myStack.size()-1];

    }

    int getMin() {

            //return last value from minStack:

    }
};","#include<vector>
#include <algorithm>

class MinStack {
private:
        //int *top;
        //int *next;

        //Two stacks - one to keep track of the actual stack values as they are inserted.
        //Other stack to maintain them in sorted order so min can be retrieved in constant time

        std::vector<int>myStack;
        std::vector<int>myMinStack;

public:
    MinStack()
    {}

    void push(int x) {
            myStack.emplace_back(x);

            //Then add to minStack, maintaining sorted order:
            if (myMinStack.empty() || x <= myMinStack.back()) {
                myMinStack.emplace_back(x);
            }
    }

    void pop() {
            if (myStack.size() < 1){
                    std::cerr (""Cannot pop from empty stack!"");
            }
            if (myStack.back() == myMinStack.back()) {
                myMinStack.pop_back();
            }
            myStack.pop_back();

            //Then remove from minStack and maintain sorted order:
    }

    int top() {
            if (myStack.size() < 1){
                    std::cerr(""Stack is empty!"");
            }

            return myStack[myStack.size()-1];
    }

    int getMin() {
            //return last value from minStack:
            return myMinStack.back();
    }
};
",original
443,"std::vector<int> twoSum(std::vector<int> &nums, int target) {

        // More optimal solution with hashMap, but I do not know the syntax off-hand.
        //So brute-force solution
        std::vector<int> ans;
        for (size_t i = 0; i < nums.size(); ++i){
                for (size_t j = 0; j < nums.size(); ++j){
                        if (nums[i] + nums[j] == target){
                                ans.push_back(i);
                                ans.push_back(j);
                        }
                }
        }
        return ans;
}","std::vector<int> twoSum(std::vector<int> &nums, int target) {


        // More optimal solution with hashMap, but I do not know the syntax off-hand.
        //So brute-force solution
        std::vector<int> ans;
        for (size_t i = 0; i < nums.size(); ++i){
                for (size_t j = 0; j < nums.size(); ++j){
                        if (nums[i] + nums[j] == target){
                                ans.push_back(i);
                                ans.push_back(j);
                        }
                }
        }
        return ans;
}",original
446,"#include<vector>

class MinStack {
private:
        int *top;
        int *next;
        int arr[];


public:
    MinStack() {
            arr = new int[50];
            top = arr;
            next = arr + 1;

    }

    void push(int x) {
            *next = x;
            next += 1;
    }

    void pop() {
            *top = 0;
            top = next;
    }

    int top() {
            return *top;
    }

    int getMin() {
            int min = 231;
            pop();
            while(top != null) {
                    int i = top();
                    if(i < min) {min = i;}
                    pop();
            }
            return min;
    }
};","#include<vector>

class MinStack {
private:
        int *top;
        int *next;
        int arr[];


public:
    MinStack() {
            arr = new int[50];
            top = arr;
            next = arr + 1;

    }

    void push(int x) {
            *next = x;
            next += 1;
    }

    void pop() {
            *top = 0;
            top = next;
    }

    int top() {
            return *top;
    }

    int getMin() {
            int min = 231;
            pop();
            while(top != null) {
                    int i = top();
                    if(i < min) {min = i;}
                    pop();
            }
            return min;
    }
};",original
446,"std::vector<int> twoSum(std::vector<int> &nums, int target) {

        std::vector<int> ans;
        for(int i = 0; i < nums.size(); ++i) {
                for(int j = i; j < nums.size(); ++j) {
                        if(nums[i] + nums[j] == target) {
                                ans.push_back(i);
                                ans.push_back(j);
                        }
                }
        }
        return ans;
}","std::vector<int> twoSum(std::vector<int>& nums, int target) {
    std::unordered_map<int, int> num_map;
    for (int i = 0; i < nums.size(); ++i) {
        int complement = target - nums[i];
        if (num_map.find(complement) != num_map.end()) {
            return {num_map[complement], i};
        }
        num_map[nums[i]] = i;
    }
    return {};
}
                }
        }
        return ans;
}",algorithm_optimization
462,"#include<vector>

class MinStack {
private:
        int *top;
        int *next;


public:
    MinStack() {
            top = next;
            next = nullptr;
    }

    void push(int x) {
            next = top;
            *top = x;
    }

    void pop() {
            
    }

    int top() {

    }

    int getMin() {

    }
};","#include <vector>

class MinStack {
private:
    int *top;
    int *next;
    std::vector<int> stack;
    std::vector<int> minStack;

public:
    MinStack() {
        top = next;
        next = nullptr;
    }

    void push(int x) {
        next = top;
        *top = x;
        stack.push_back(x);
        if (minStack.empty() || x <= minStack.back()) {
            minStack.push_back(x);
        }
    }

    void pop() {
        if (!stack.empty()) {
            stack.pop_back();
            minStack.pop_back();
        }
    }

    int top() {
        return stack.empty() ? -1 : stack.back();
    }

    int getMin() {
        return minStack.empty() ? -1 : minStack.back();
    }
};
",original
477,"std::vector<int> twoSum(std::vector<int> &nums, int target) {

        // can't remember function to get vector size

        std::vector<int> sol = {};

        size_t len = nums.size();
//        std::cout << len;
        for (size_t i=0; i<len; i++) {
                for (size_t j=0; j<len; j++) {
                        if (j!=i) {
                                if (nums[i] + nums[j] == target) {
                                        sol.push_back(nums[i]);
                                        sol.push_back(nums[j]);
                                        std::cout << sol[0] << "" "" << sol[1] << "" "" << target << std::endl;

                                        return sol;
                                }
                        }
                }
        }
        return sol;

}","std::vector<int> twoSum(std::vector<int>& nums, int target) {
    std::vector<std::pair<int, int>> indexed_nums;
    for (int i = 0; i < nums.size(); ++i) {
        indexed_nums.push_back({nums[i], i});
    }
    std::sort(indexed_nums.begin(), indexed_nums.end());
    
    int left = 0, right = indexed_nums.size() - 1;
    while (left < right) {
        int current_sum = indexed_nums[left].first + indexed_nums[right].first;
        if (current_sum == target) {
            return {indexed_nums[left].second, indexed_nums[right].second};
        }
        else if (current_sum < target) ++left;
        else --right;
    }
    return {};
};

        size_t len = nums.size();
//        std::cout << len;
        for (size_t i=0; i<len; i++) {
                for (size_t j=0; j<len; j++) {
                        if (j!=i) {
                                if (nums[i] + nums[j] == target) {
                                        sol.push_back(nums[i]);
                                        sol.push_back(nums[j]);
                                        std::cout << sol[0] << "" "" << sol[1] << "" "" << target << std::endl;

                                        return sol;
                                }
                        }
                }
        }
        return sol;

}",algorithm_optimization
484,"#include <vector>
#include <stack>
#include <algorithm>


class MinStack {
private:
        int *top_;
        int *next;
        int *smallest; //smallest integer in stack

        std::vector<int*> st; //stack



public:
    MinStack() : top_(nullptr), next(nullptr), smallest(nullptr) {}

    void push(int x) {
            int* num = new int;
            *num = x;

            if (smallest == nullptr || x < *smallest) {
                    smallest = num;
            }

            next = top_;
            top_ = num;
            st.push_back(num);
    }

    void pop() {
            top_ = next;

            if (st.size() <= 2) {
                    next = nullptr;
            } else {
                    next = st[st.size() - 3];
            }
            st.pop_back();
            //now need to find new smallest

            smallest = st[0];
            for (int i = 0; i < st.size(); ++i) {
                    if (*st[i] < *smallest) {
                            smallest = st[i];
                    }
            }
    }

    int top() {
            return *top_;
    }

    int getMin() {
            return *smallest;
    }
};","#include <vector>
#include <stack>
#include <algorithm>


class MinStack {
private:
        int *top_;
        int *next;
        int *smallest; //smallest integer in stack

        std::vector<int*> st; //stack



public:
    MinStack() : top_(nullptr), next(nullptr), smallest(nullptr) {}

    void push(int x) {
            int* num = new int;
            *num = x;

            if (smallest == nullptr || x < *smallest) {
                    smallest = num;
            }

            next = top_;
            top_ = num;
            st.push_back(num);
    }

    void pop() {
            top_ = next;

            if (st.size() <= 2) {
                    next = nullptr;
            } else {
                    next = st[st.size() - 3];
            }
            st.pop_back();
            //now need to find new smallest

            smallest = st[0];
            for (int i = 0; i < st.size(); ++i) {
                    if (*st[i] < *smallest) {
                            smallest = st[i];
                    }
            }
    }

    int top() {
            return *top_;
    }

    int getMin() {
            return *smallest;
    }
};",original
488,"#include<vector>

class MinStack {
private:
	struct node{
		int val;
		node* next;
	};
	int min;
	node* head;

public:
    MinStack(): head(nullptr), min(100000) {

    }

    void push(int x) {
    	if(x<min){
    		min=x;
    	}
    	node* temp= new node();
    	temp->val=x;
    	temp->next=head;
    	head=temp;
    }

    void pop() {
    	if(head->val==min){
    		min=100000;
    		for(node* i=head->next;i!=nullptr;i=i->next){
    			if(i->val<min)
    				min=i->val;
    		}
    	}
    	node* temp=head;
    	head=head->next;
    	delete temp;
    }

    int top() {
    	return head->val;
    }

    int getMin() {
    	return min;
    }
};","#include<vector>

class MinStack {
private:
	struct node{
		int val;
		node* next;
	};
	int min;
	node* head;

public:
    MinStack(): head(nullptr), min(100000) {

    }

    void push(int x) {
    	if(x<min){
    		min=x;
    	}
    	node* temp= new node();
    	temp->val=x;
    	temp->next=head;
    	head=temp;
    }

    void pop() {
    	if(head->val==min){
    		min=100000;
    		for(node* i=head->next;i!=nullptr;i=i->next){
    			if(i->val<min)
    				min=i->val;
    		}
    	}
    	node* temp=head;
    	head=head->next;
    	delete temp;
    }

    int top() {
    	return head->val;
    }

    int getMin() {
    	return min;
    }
};",original
488,"std::vector<int> twoSum(std::vector<int> &nums, int target) {
        int len =nums.size();
        for(int i=0;i<len; i++){
                for(int j=i+1;j<len;j++){
                        if(nums[i]+nums[j]==target){
                                return (std::vector<int>({i,j}));
                        }
                }
        }
        return(std::vector<int>());

}","std::vector<int> twoSum(std::vector<int> &nums, int target) {
	int len =nums.size();
	for(int i=0;i<len; i++){
		for(int j=i+1;j<len;j++){
			if(nums[i]+nums[j]==target){
				return (std::vector<int>({i,j}));
			}
		}
	}
	return(std::vector<int>());

}",original
